id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,neighbourhood_normalized,zip_code,31-12-2023,31-03-2024,30-06-2024
2384,Hyde Park - Walk to The University of Chicago,2613,Rebecca,Hyde Park,41.7879,-87.5878,Private room,,3,242,1,328,23,hyde park,63107,70,86,125
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,41.90166,-87.68021,Entire home/apt,,2,527,1,297,32,west town,60612,90,90,104
10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,41.91196,-87.63981,Entire home/apt,,4,93,5,196,26,lincoln park,80204,106,114,188
12140,Lincoln Park Guest House,46734,Shay And Robert,Lincoln Park,41.92357,-87.64947,Private room,,2,16,1,151,1,lincoln park,80204,329,329,339
71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,,3,113,1,231,9,west town,60612,96,76,95
94450,Comfy Garden Suite in Andersonville,504470,Mark,Edgewater,41.9796,-87.66512,Entire home/apt,,3,25,1,41,14,edgewater,78248,111,110,120
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,41.94342,-87.68121,Entire home/apt,,32,77,23,339,11,north center,60657,198,222,257
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,41.91289,-87.63864,Entire home/apt,,32,86,23,299,0,lincoln park,80204,298,334,326
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Logan Square,41.92918,-87.70219,Entire home/apt,,2,661,1,197,49,logan square,19103,200,182,246
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Pullman,41.68843,-87.60712,Entire home/apt,,32,318,3,301,13,pullman,60628,100,80,70
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Pullman,41.68954,-87.60786,Entire home/apt,,32,46,3,117,1,pullman,60628,50,40,30
220333,Pullman School House Apartment - monthly rental,1019125,Jb,Pullman,41.68912,-87.60725,Entire home/apt,,32,5,3,316,2,pullman,60628,100,90,70
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Logan Square,41.92589,-87.69737,Private room,,2,29,1,54,7,logan square,19103,88,91,91
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,Irving Park,41.95758,-87.7271,Private room,,2,175,2,129,18,irving park,60618,60,60,65
250354,Close to Michigan Ave and parks,1311953,Ronald,Near South Side,41.85923,-87.62198,Entire home/apt,,180,35,1,358,0,near south side,60616,170,170,170
264547,Steps From the Best Chicago Offers,1387948,Dominic,Near West Side,41.88413,-87.64315,Entire home/apt,,32,63,1,362,0,near west side,60612,163,191,191
289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,Edgewater,41.97806,-87.65676,Private room,,32,68,1,273,2,edgewater,78248,32,32,32
345075,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,Patricia,Kenwood,41.80774,-87.59459,Private room,,2,285,1,274,12,kenwood,55405,100,115,115
350347,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,Lake View,41.94107,-87.65492,Entire home/apt,,3,750,1,255,61,lake view,60657,194,161,211
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,West Town,41.89629,-87.65704,Entire home/apt,,2,293,2,306,14,west town,60612,234,222,292
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,West Town,41.88947,-87.66933,Entire home/apt,,21,218,1,22,7,west town,60612,96,126,126
464581,"Large, Private Logan Square Studio",2308792,Jonathan,Logan Square,41.92518,-87.69549,Entire home/apt,,32,646,1,305,2,logan square,19103,61,61,96
507517,Private Lincoln Square Garden Apt,2501182,Nate,Lincoln Square,41.96678,-87.6973,Entire home/apt,,2,407,1,147,23,lincoln square,60625,101,101,101
542067,Logan Square Modern Vintage Garden,2273840,Sarah,Logan Square,41.93142,-87.69989,Entire home/apt,,32,303,1,234,13,logan square,19103,150,125,150
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Lincoln Square,41.96528,-87.6831,Private room,,32,53,2,117,2,lincoln square,60625,20,50,60
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Edgewater,41.99688,-87.66449,Private room,,3,125,2,315,11,edgewater,78248,70,70,70
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Lake View,41.94256,-87.67171,Entire home/apt,,4,94,1,5,9,lake view,60657,286,226,286
662034,Edgebrook bdr by golf course,2824576,Jeff,Forest Glen,41.99405,-87.75746,Private room,,2,93,2,338,4,forest glen,60630,70,70,75
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,Near North Side,41.90437,-87.6335,Entire home/apt,,32,160,2,263,2,near north side,60610,99,97,118
726376,"Spacious Studio, Amazing Location!",2658212,James,Lake View,41.93903,-87.65196,Entire home/apt,,2,821,3,33,60,lake view,60657,78,95,167
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,Lincoln Square,41.9765,-87.68144,Entire home/apt,,7,216,1,263,9,lincoln square,60625,150,150,228
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,Logan Square,41.93115,-87.71836,Entire home/apt,,32,28,4,281,4,logan square,19103,86,80,84
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,Lincoln Park,41.92218,-87.66079,Private room,,2,154,1,107,15,lincoln park,80204,85,85,85
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,Logan Square,41.92708,-87.71212,Private room,,32,144,1,140,0,logan square,19103,110,110,110
929914,Charming renovated Victorian apartment in Old Town,5007980,Lynn,Lincoln Park,41.91241074,-87.63896942,Entire home/apt,,2,486,1,9,45,lincoln park,80204,128,128,346.5584416
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,East Garfield Park,41.88538,-87.69801,Private room,,32,22,1,362,0,east garfield park,60612,136,136,136
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,West Town,41.89602,-87.65659,Entire home/apt,,32,436,21,328,42,west town,60612,185,220,323
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,Near West Side,41.86801,-87.67877,Entire home/apt,,32,41,1,55,1,near west side,60612,133,133,133
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,Rogers Park,42.00588,-87.66853,Private room,,2,323,4,310,39,rogers park,60626,89,89,89
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Rogers Park,42.00477,-87.66842,Private room,,2,352,4,320,38,rogers park,60626,79,79,79
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Rogers Park,42.00378,-87.66807,Private room,,2,322,4,315,28,rogers park,60626,79,79,79
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Rogers Park,42.00456,-87.67058,Entire home/apt,,2,274,4,291,29,rogers park,60626,179,179,179
1020810,Beautiful Condo in Chicago,3843347,Andrea,Near North Side,41.89395,-87.62593,Entire home/apt,,32,39,3,188,2,near north side,60610,85,85,85
1171860,"Lincoln Park Studio, Great Value!",2658212,James,Lincoln Park,41.92655,-87.64226,Entire home/apt,,2,706,3,35,40,lincoln park,80204,78,75,120
