id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,neighbourhood_normalized,zip_code
2384,Hyde Park - Walk to The University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,125.0,3,242,2024-06-08,2.1,1,328,23,R17000015609,hyde park,63107
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,188.0,4,93,2024-06-16,0.75,5,196,26,2209984,lincoln park,80204
12140,Lincoln Park Guest House,46734,Shay And Robert,,Lincoln Park,41.92357,-87.64947,Private room,339.0,2,16,2024-05-27,0.15,1,151,1,R20000055258,lincoln park,80204
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,120.0,3,25,2024-06-03,1.07,1,41,14,R22000082956,edgewater,78248
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,326.0,32,86,2022-08-11,0.78,23,299,0,2083778,lincoln park,80204
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,100.0,32,318,2024-01-15,2.04,3,301,13,R21000073121,pullman,60628
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50.0,32,46,2023-08-08,0.3,3,117,1,R21000073121,pullman,60628
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,100.0,32,5,2024-05-12,0.03,3,316,2,,pullman,60628
289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,32.0,32,68,2024-03-02,0.45,1,273,2,R21000062931,edgewater,78248
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70.0,3,125,2024-06-14,0.87,2,315,11,R22000091618,edgewater,78248
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85.0,2,154,2024-03-31,1.16,1,107,15,R21000072699,lincoln park,80204
929914,Charming renovated Victorian apartment in Old Town,5007980,Lynn,,Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,,2,486,2024-06-03,3.56,1,9,45,R21000073898,lincoln park,80204
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,89.0,2,323,2024-06-16,2.37,4,310,39,R17000015436,rogers park,60626
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,79.0,2,352,2024-06-07,2.6,4,320,38,R17000015436,rogers park,60626
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,79.0,2,322,2024-06-17,2.36,4,315,28,R17000015436,rogers park,60626
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179.0,2,274,2024-06-11,2.04,4,291,29,R17000015436,rogers park,60626
1171860,"Lincoln Park Studio, Great Value!",2658212,James,,Lincoln Park,41.92655,-87.64226,Entire home/apt,120.0,2,706,2024-06-19,5.29,3,35,40,R22000081599,lincoln park,80204
1242709,Beautiful/Large SE Evanston Apt,1254363,Mark,,Rogers Park,42.01938,-87.67985,Entire home/apt,149.0,7,16,2022-10-15,0.14,1,342,0,,rogers park,60626
1321332,Lincoln Park Single Family Home,946954,Jeff,,Lincoln Park,41.93089,-87.66946,Entire home/apt,727.0,2,114,2024-03-24,0.88,1,290,3,2262746,lincoln park,80204
1502674,The Biddle House (#2),33004,At Home Inn,,Lincoln Park,41.91175,-87.63834,Entire home/apt,216.0,4,125,2024-06-09,0.95,5,173,31,2209985,lincoln park,80204
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85592,-87.66249,Private room,63.0,2,393,2024-06-05,5.02,2,52,59,R21000069179,lower west side,60608
1591370,Cozy Northside Apt near trains & free St. parking,8489460,Holly + Mark,,Rogers Park,42.01177,-87.67758,Entire home/apt,166.0,2,193,2024-06-15,1.47,1,256,15,R22000090320,rogers park,60626
1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,,Lincoln Park,41.92817,-87.64282,Private room,155.0,1,71,2024-06-02,0.54,1,83,7,R22000079040,lincoln park,80204
1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84801,-87.68127,Private room,82.0,2,156,2024-06-15,1.2,3,207,12,R20000054162,lower west side,60608
1810118,LARGE 1BR/Private Full Bath near U of Chicago,9483312,Ryan,,Woodlawn,41.77738,-87.60041,Private room,79.0,4,368,2024-06-04,2.92,2,108,8,R17000015592,woodlawn,97211
1837153,Musician's Quarters,9601147,Chester,,Hyde Park,41.79989,-87.59432,Entire home/apt,112.0,32,59,2024-03-29,0.46,1,290,1,City registration pending,hyde park,63107
1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,,Lincoln Park,41.93264,-87.64311,Entire home/apt,364.0,32,155,2022-08-09,1.22,1,365,0,R93749978238,lincoln park,80204
2189522,Casa Corazón (E) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-87.68021,Private room,82.0,2,207,2024-06-16,1.66,3,208,23,R20000054162,lower west side,60608
2543231,Private room near Downtown,2850286,Amado,,Lower West Side,41.85669,-87.65132,Private room,65.0,32,246,2022-09-01,1.98,1,135,0,City registration pending,lower west side,60608
2824585,#54-Home away from home- Safe place,13389580,Ed,,Dunning,41.9443,-87.79831,Private room,45.0,32,29,2022-09-03,0.24,2,324,0,R17000013486,dunning,60634
3267902,Ravenswood Guest House Annex,2676165,Richard,,Edgewater,41.98908,-87.66697,Entire home/apt,89.0,2,386,2024-06-20,3.16,1,257,36,R23000104940,edgewater,78248
3445991,"#55-Clean,Great area. free parking, 24h check in.",13389580,Ed,,Dunning,41.94418,-87.79895,Private room,35.0,32,6,2022-04-20,0.05,2,39,0,City registration pending,dunning,60634
3453656,Private large room with your own bathroom,17405364,Jennifer,,Rogers Park,42.00146,-87.66982,Private room,54.0,15,42,2024-06-09,0.38,3,24,1,R21000073244,rogers park,60626
3517984,Private room w/bath in urban canopy,11294056,Amanda,,Hyde Park,41.79963,-87.59186,Private room,76.0,1,450,2024-06-17,3.75,1,39,58,R17000015187,hyde park,63107
3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,,Edgewater,41.99103,-87.66166,Private room,49.0,20,47,2024-04-13,0.39,3,258,3,R18000034100,edgewater,78248
3696178,Beautiful condo close to the beach,18742622,Barbara,,Rogers Park,42.0222,-87.67226,Private room,68.0,2,76,2024-06-09,0.68,2,222,9,R23000109108,rogers park,60626
3953322,Spacious Luxury Townhouse - Old Town,20490917,Robert,,Lincoln Park,41.91374,-87.64014,Entire home/apt,109.0,1,201,2024-06-12,1.97,2,265,25,R22000092254,lincoln park,80204
4067870,Casa Corazón (N) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-87.68021,Private room,82.0,2,137,2024-06-16,1.19,3,207,16,R20000054162,lower west side,60608
4105283,Short-Term Sublet Near Lake Michigan,18649856,Rachel,,Edgewater,41.99701,-87.66099,Entire home/apt,42.0,75,211,2023-09-15,1.78,1,34,1,R22000090276,edgewater,78248
4257285,The Stained Glass Apt. Edgewater #2,2915265,Felice,,Edgewater,41.99632,-87.66385,Private room,65.0,3,76,2024-06-15,0.64,2,335,14,R22000091618,edgewater,78248
4852830,Private bedroom in Lincoln Park,597871,Matt,,Lincoln Park,41.91233,-87.65146,Private room,120.0,2,323,2024-06-04,2.85,1,288,25,R17000015165,lincoln park,80204
5283285,The Flower Power Room,22215535,Matt,,Lower West Side,41.85707,-87.67082,Private room,25.0,32,155,2018-06-27,1.36,3,41,0,City registration pending,lower west side,60608
5297152,Fresh and Sunny Bed & Bath by UofC,9499059,Bennett,,Hyde Park,41.79755783081055,-87.59791564941406,Private room,82.0,3,226,2024-05-26,2.01,3,264,13,R17000014580,hyde park,63107
5537682,The Rectory,28715964,David,,Lincoln Park,41.92032,-87.66153,Entire home/apt,224.0,2,256,2024-06-01,2.33,2,196,32,R19000037446,lincoln park,80204
5537683,The Chapel: Great family spot,28715964,David,,Lincoln Park,41.92061,-87.66324,Entire home/apt,275.0,2,244,2024-06-06,2.16,2,207,22,R23000097194,lincoln park,80204
5847065,Goose & Fox Hostel Lincoln Park,30356781,Greg,,Lincoln Park,41.91775,-87.65508,Private room,69.0,2,238,2024-06-10,2.14,2,45,25,R17000013070,lincoln park,80204
5851115,Great Place Garfield Park 3 Bedroom,28811949,Seth & Mike,,West Garfield Park,41.87669,-87.72146,Entire home/apt,104.0,32,498,2024-06-03,4.44,1,300,20,R17000013966,west garfield park,60624
6365974,Cute cozy cottage 20 min 2 downtown,31669178,Donna,,Hegewisch,41.65064,-87.54074,Entire home/apt,129.0,32,44,2024-05-18,0.4,7,174,3,R18000024333,hegewisch,60633
6472628,Pilsen Custom Home,33813743,Zandra,,Lower West Side,41.84998,-87.67714,Private room,68.0,32,51,2023-08-06,0.46,1,362,1,R21000073252,lower west side,60608
6480445,Tree top 2nd floor 3 bedrm Apt,28172807,Sadie Rose And Patrick,,Avondale,41.93395,-87.71078,Entire home/apt,163.0,2,276,2024-06-02,2.81,1,275,38,R19000040422,avondale,95824
